seqID,syll_1,syll_2,syll_3,syll_4,syll_5,syll_6
seq_0185,A2_i_d.mp3,B2_o_t.mp3,A1_i_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0186,A2_i_d.mp3,B2_o_t.mp3,A1_i_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0187,A2_i_d.mp3,B2_o_t.mp3,A1_i_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0188,A2_i_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0189,A2_i_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0190,A2_i_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0191,A2_i_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0192,A2_e_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_o_p.mp3
seq_0193,A2_e_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0194,A2_e_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_o_p.mp3
seq_0195,A2_e_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0196,A2_e_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_o_p.mp3
seq_0197,A2_e_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0198,A2_e_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_o_p.mp3
seq_0199,A2_e_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0200,A2_e_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_o_k.mp3,A1_i_b.mp3,B1_o_p.mp3
